SeqID,True_Classification,Protax_Classification,Protax_Probability,Accuracy
SH2591562.08FU_MK348933_reps,Glomerales,Glomerales,0.72,1
SH1175403.08FU_KJ780631_refs,Hygrophoraceae,Hygrophoraceae,0.997,1
SH1180966.08FU_KT429785_refs,Hygrophoraceae,Hygrophoraceae,0.991,1
SH1235601.08FU_FJ943242_reps,Hygrophoraceae,Hygrophoraceae,0.903,1
SH3233617.08FU_MT883671_reps,Amanitaceae,Amanitaceae,0.0471,1
SH1168537.08FU_LC056769_reps,Amanitaceae,Amanitaceae,0.809,1
SH2593743.08FU_MW077527_reps,Pluteaceae,Pluteaceae,0.962,1
SH1190303.08FU_MH926037_reps,Polyporales,Polyporales,0.954,1
SH1174831.08FU_LC368018_reps,Russulales,Russulales,0.802,1
SH1145193.08FU_EU222979_reps,Russulales,Russulales,0.993,1
SH2602692.08FU_UDB0613842_reps,Auriculariales,Auriculariales,0.443,1
SH1173571.08FU_UDB0764892_reps,Auriculariales,Auriculariales,0.549,1
SH2614834.08FU_UDB0680020_reps,Tremellales,Tremellales,0.206,1
SH1235583.08FU_HQ874756_reps,Botryosphaeriales,Botryosphaeriales,0.991,1
SH1145889.08FU_UDB028521_reps,Helotiales,Helotiales,0.368,1
SH1155345.08FU_HM230882_reps,Helotiales,Helotiales,0.399,1
SH1189121.08FU_MG920147_reps,Helotiales,Helotiales,0.987,1
SH1162906.08FU_AF272574_refs,Aspergillaceae,Aspergillaceae,0.999,1
SH1194552.08FU_UDB092932_reps,Sordariales,Sordariales,0.583,1
SH1173602.08FU_HM484543_refs,Hypocreales,Hypocreales,0.962,1
SH1187931.08FU_MH858276_reps,Hypocreales,Hypocreales,0.902,1
SH1191717.08FU_MF488989_refs,Xylariales,Xylariales,0.0625,1
SH1153681.08FU_MT185508_reps,Chaetosphaeriales,Chaetosphaeriales,0.613,1
SH2604690.08FU_UDB090068_reps,Pleurotheciales,Sordariales,0.0697,0
SH1144564.08FU_HQ889706_reps,Boliniales,Boliniales,0.126,1
SH1169414.08FU_AJ458289_reps,Ostropales,Ostropales,0.768,1
SH1152267.08FU_KR017144_reps,Trapeliales,Trapeliales,0.231,1
SH1174889.08FU_KR902678_reps,Teloschistales,Teloschistales,0.904,1
SH2608872.08FU_UDB0209524_reps,GS36,NA,0,0
SH1178035.08FU_EU836707_refs,Saccharomycetales,Saccharomycetales,0.0381,1
SH1155115.08FU_KC489498_refs,Umbelopsidales,Umbelopsidales,0.547,1
,,,,
Total Accuracy,,,0.610529032,0.9355
